kmeans_cluster,datetime_hour,svr1,upload_bitrate_mbps,download_bitrate_mbps,target_latency,target_throughput,latency_lag_1h,throughput_lag_1h,latency_rolling_3h,throughput_rolling_3h,latency_rolling_6h,throughput_rolling_6h,hour_sin,hour_cos,dow_sin,dow_cos,hour_of_day,day_of_week,zone_count
0,2022-07-11 02:00:00,40.51926910299004,13.185286458333334,19.994943807499304,66.25913336792942,69.11451329937748,52.46323384063675,29.327748124951075,60.952087599847914,30.298389094650208,76.1808430195615,30.29504373304796,0.4999999999999999,0.8660254037844387,0.0,1.0,2,0,40
0,2022-07-11 03:00:00,59.16595744680851,16.746434782608695,62.0,61.69712025316456,26.92828947368421,61.54166666666666,34.45930555555556,67.6817410000331,47.09134671755544,77.23664771434261,38.266791441236144,0.7071067811865476,0.7071067811865476,0.0,1.0,3,0,29
0,2022-07-11 04:00:00,29.82714416058394,12.852008771929825,36.05812115891133,66.4440243902439,107.91175617375815,36.8007858649789,80.0464347826087,43.41426476925113,55.31989740070077,51.26248315430996,50.37447230734223,0.8660254037844386,0.5000000000000001,0.0,1.0,4,0,1
0,2022-07-11 18:00:00,30.096097560975608,30.144628099173552,83.32479338842974,74.32151422197435,87.22818181818181,34.500669860097325,48.90297629499561,45.91516003844004,80.80627752173588,53.62870603325653,63.66193993819623,-1.0,-1.8369701987210294e-16,0.0,1.0,18,0,1
0,2022-07-11 19:00:00,34.9628947368421,14.0875,10.056726495726496,51.296627844838426,27.99830601619458,57.39398498612162,45.68181818181818,58.04390953235563,35.48222544964905,58.10338392344103,29.801821953296137,-0.9659258262890684,0.2588190451025203,0.0,1.0,19,0,24
0,2022-07-11 20:00:00,36.461851954789694,13.46870627371485,17.882262790214874,68.60315505997941,28.318148931000316,61.83412946428571,24.157852588147037,64.13805375835081,32.223818790591885,63.52880554093254,27.216087402419085,-0.8660254037844386,0.5000000000000001,0.0,1.0,20,0,14
0,2022-07-11 21:00:00,67.50928725701944,13.420529801324504,13.963605150214592,68.40797297297297,27.255984455958547,60.51121768140116,27.46757588781085,70.41741151549351,29.82136968207827,68.26986147211363,29.162271633301017,-0.7071067811865477,0.7071067811865474,0.0,1.0,21,0,13
0,2022-07-11 22:00:00,41.65074626865672,12.970588235294118,15.73764705882353,51.01615384615385,27.16187089715536,59.52352941176471,26.722564102564103,55.390754276121775,32.10041841237919,53.28934990270631,30.14008937590096,-0.5000000000000004,0.8660254037844384,0.0,1.0,22,0,27
0,2022-07-11 23:00:00,39.78825045357084,10.58080816110228,15.32103921001524,57.47091097308488,23.176161518661523,64.04520192109068,31.200615763546796,65.11232520459863,31.5521245695796,61.76399430212943,31.184325731426405,-0.2588190451025215,0.965925826289068,0.0,1.0,23,0,54
0,2022-07-12 00:00:00,42.25,10.5,11.54837837837838,60.40721649484536,29.40833333333333,54.849851079672376,27.46847222222222,60.06350548189415,30.550098852431763,57.22950058492892,32.503331150000726,0.0,1.0,0.7818314824680298,0.6234898018587336,0,1,35
